prompt_id,repetition,on_task_completed,off_task_completed,delta_on_minus_off_task_completed,on_strict_full_execution,off_strict_full_execution,delta_on_minus_off_strict_full_execution,on_final_output_usable,off_final_output_usable,delta_on_minus_off_final_output_usable,on_business_send_message_calls,off_business_send_message_calls,delta_on_minus_off_business_send_message_calls,on_blocked_send_message_calls,off_blocked_send_message_calls,delta_on_minus_off_blocked_send_message_calls,on_used_agent_count,off_used_agent_count,delta_on_minus_off_used_agent_count,on_exclusive_branch_violations,off_exclusive_branch_violations,delta_on_minus_off_exclusive_branch_violations,on_exact_protocol_sequence,off_exact_protocol_sequence,delta_on_minus_off_exact_protocol_sequence,on_repeated_agent_task,off_repeated_agent_task,delta_on_minus_off_repeated_agent_task,on_redundant_business_calls,off_redundant_business_calls,delta_on_minus_off_redundant_business_calls,on_output_completeness_score_0_6,off_output_completeness_score_0_6,delta_on_minus_off_output_completeness_score_0_6,on_tool_call_leak_in_final,off_tool_call_leak_in_final,delta_on_minus_off_tool_call_leak_in_final,on_process_score_0_10,off_process_score_0_10,delta_on_minus_off_process_score_0_10,on_duration_seconds,off_duration_seconds,delta_on_minus_off_duration_seconds
travel-simplified,1,False,True,-1.0,False,False,0.0,False,True,-1.0,7,7,0.0,1,0,1.0,7,6,1.0,0,0,0.0,False,False,0.0,False,True,-1.0,0,1,-1.0,0,5,-5.0,False,False,0.0,4.62,6.25,-1.63,515.673,522.793,-7.12
travel-simplified,2,True,False,1.0,True,False,1.0,True,False,1.0,8,7,1.0,2,0,2.0,8,5,3.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,2,-2.0,6,0,6.0,False,False,0.0,10.0,3.88,6.12,590.801,368.958,221.843
travel-simplified,3,True,False,1.0,True,False,1.0,True,False,1.0,8,4,4.0,1,0,1.0,8,4,4.0,0,0,0.0,True,False,1.0,False,False,0.0,0,0,0.0,6,0,6.0,False,False,0.0,10.0,3.5,6.5,509.94,109.071,400.869
travel-simplified,4,True,False,1.0,True,False,1.0,True,False,1.0,8,2,6.0,1,0,1.0,8,2,6.0,0,0,0.0,True,False,1.0,False,False,0.0,0,0,0.0,6,0,6.0,False,False,0.0,10.0,2.75,7.25,696.002,60.954,635.048
travel-simplified,5,True,False,1.0,True,False,1.0,True,False,1.0,8,9,-1.0,1,0,1.0,8,3,5.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,6,-6.0,5,0,5.0,False,False,0.0,10.0,3.12,6.88,847.768,100.782,746.986
travel-simplified,6,True,True,0.0,True,False,1.0,True,True,0.0,8,8,0.0,1,0,1.0,8,6,2.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,2,-2.0,6,5,1.0,False,False,0.0,10.0,6.25,3.75,581.517,306.63,274.887
travel-simplified,7,False,True,-1.0,False,False,0.0,False,True,-1.0,7,9,-2.0,2,0,2.0,7,8,-1.0,0,0,0.0,False,False,0.0,False,True,-1.0,0,1,-1.0,0,6,-6.0,False,False,0.0,4.62,7.0,-2.38,540.881,347.576,193.305
travel-simplified,8,True,True,0.0,False,False,0.0,True,True,0.0,2,13,-11.0,1,0,1.0,2,8,-6.0,0,0,0.0,False,False,0.0,False,True,-1.0,0,5,-5.0,3,6,-3.0,False,False,0.0,4.75,7.0,-2.25,564.922,516.773,48.149
travel-simplified,9,True,True,0.0,False,False,0.0,True,True,0.0,4,7,-3.0,8,0,8.0,4,6,-2.0,0,0,0.0,False,False,0.0,False,True,-1.0,0,1,-1.0,5,5,0.0,False,False,0.0,5.5,6.25,-0.75,358.114,290.114,68.0
travel-simplified,10,True,True,0.0,True,False,1.0,True,True,0.0,8,11,-3.0,1,0,1.0,8,8,0.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,3,-3.0,5,6,-1.0,False,False,0.0,10.0,7.0,3.0,796.951,380.75,416.201
travel-simplified,11,True,False,1.0,True,False,1.0,True,False,1.0,8,8,0.0,1,0,1.0,8,7,1.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,1,-1.0,6,0,6.0,False,False,0.0,10.0,4.62,5.38,552.868,279.603,273.265
travel-simplified,12,True,True,0.0,False,False,0.0,True,True,0.0,6,11,-5.0,3,0,3.0,6,8,-2.0,0,0,0.0,False,False,0.0,False,True,-1.0,0,3,-3.0,5,6,-1.0,False,False,0.0,6.25,7.0,-0.75,647.272,393.909,253.363
travel-simplified,13,True,True,0.0,False,False,0.0,True,True,0.0,2,11,-9.0,6,0,6.0,2,7,-5.0,0,0,0.0,False,False,0.0,False,True,-1.0,0,4,-4.0,0,6,-6.0,False,False,0.0,4.75,6.62,-1.87,250.257,457.742,-207.485
travel-simplified,14,True,True,0.0,True,False,1.0,True,True,0.0,8,7,1.0,1,0,1.0,8,6,2.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,1,-1.0,6,5,1.0,False,False,0.0,10.0,6.25,3.75,632.931,354.212,278.719
travel-simplified,15,True,True,0.0,False,False,0.0,False,True,-1.0,3,16,-13.0,1,0,1.0,3,8,-5.0,0,0,0.0,False,False,0.0,False,True,-1.0,0,8,-8.0,0,5,-5.0,True,False,1.0,4.12,7.0,-2.88,247.033,342.55,-95.517
travel-simplified,16,False,True,-1.0,False,False,0.0,False,True,-1.0,1,14,-13.0,0,0,0.0,1,8,-7.0,0,1,-1.0,False,False,0.0,False,True,-1.0,0,6,-6.0,0,5,-5.0,False,False,0.0,1.38,6.62,-5.24,65.819,395.169,-329.35
travel-simplified,17,True,False,1.0,True,False,1.0,True,False,1.0,8,4,4.0,3,0,3.0,8,3,5.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,1,-1.0,6,0,6.0,False,False,0.0,10.0,3.12,6.88,922.309,206.459,715.85
travel-simplified,18,True,False,1.0,True,False,1.0,True,False,1.0,8,4,4.0,2,0,2.0,8,3,5.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,1,-1.0,6,0,6.0,False,False,0.0,10.0,3.12,6.88,589.671,127.719,461.952
travel-simplified,19,True,False,1.0,True,False,1.0,True,False,1.0,8,0,8.0,2,0,2.0,8,0,8.0,0,0,0.0,True,False,1.0,False,False,0.0,0,0,0.0,6,0,6.0,False,False,0.0,10.0,2.0,8.0,589.031,33.289,555.742
travel-simplified,20,True,True,0.0,True,False,1.0,True,True,0.0,8,14,-6.0,3,0,3.0,8,9,-1.0,0,1,-1.0,True,False,1.0,False,True,-1.0,0,5,-5.0,6,6,0.0,False,False,0.0,10.0,7.0,3.0,613.307,519.659,93.648
travel-simplified,21,True,True,0.0,True,False,1.0,True,True,0.0,8,9,-1.0,1,0,1.0,8,7,1.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,2,-2.0,5,5,0.0,False,False,0.0,10.0,6.62,3.38,618.087,327.77,290.317
travel-simplified,22,True,False,1.0,True,False,1.0,True,False,1.0,8,1,7.0,0,0,0.0,8,1,7.0,0,0,0.0,True,False,1.0,False,False,0.0,0,0,0.0,6,0,6.0,False,False,0.0,10.0,2.38,7.62,501.229,43.645,457.584
travel-simplified,23,True,False,1.0,False,False,0.0,True,False,1.0,5,1,4.0,4,0,4.0,5,1,4.0,0,0,0.0,False,False,0.0,False,False,0.0,0,0,0.0,5,0,5.0,False,False,0.0,5.88,2.38,3.5,687.29,35.005,652.285
travel-simplified,24,True,True,0.0,True,False,1.0,True,True,0.0,8,11,-3.0,1,0,1.0,8,7,1.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,4,-4.0,6,6,0.0,False,False,0.0,10.0,6.62,3.38,569.9,455.389,114.511
travel-simplified,25,True,False,1.0,True,False,1.0,True,False,1.0,8,3,5.0,2,0,2.0,8,2,6.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,1,-1.0,6,0,6.0,False,False,0.0,10.0,2.75,7.25,617.574,118.594,498.98
travel-simplified,26,True,True,0.0,True,False,1.0,True,True,0.0,8,11,-3.0,2,0,2.0,8,7,1.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,4,-4.0,6,6,0.0,False,False,0.0,10.0,6.62,3.38,480.849,454.927,25.922
travel-simplified,27,True,False,1.0,True,False,1.0,True,False,1.0,8,2,6.0,1,0,1.0,8,2,6.0,0,0,0.0,True,False,1.0,False,False,0.0,0,0,0.0,6,0,6.0,False,False,0.0,10.0,2.75,7.25,753.974,74.609,679.365
travel-simplified,28,False,False,0.0,False,False,0.0,False,False,0.0,8,3,5.0,1,0,1.0,8,3,5.0,0,0,0.0,True,False,1.0,False,False,0.0,0,0,0.0,0,0,0.0,False,False,0.0,8.0,3.12,4.88,476.866,120.218,356.648
travel-simplified,29,True,False,1.0,True,False,1.0,True,False,1.0,8,9,-1.0,1,0,1.0,8,6,2.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,3,-3.0,6,0,6.0,False,False,0.0,10.0,4.25,5.75,774.17,389.4,384.77
travel-simplified,30,True,False,1.0,True,False,1.0,True,False,1.0,8,2,6.0,2,0,2.0,8,2,6.0,0,0,0.0,True,False,1.0,False,False,0.0,0,0,0.0,6,0,6.0,False,False,0.0,10.0,2.75,7.25,711.969,60.257,651.712
